index,anaemic_mean,anaemic_sd,healthy_mean,healthy_sd,pooled_sd,cohens_d,abs_d,complete_%,missing_%
MCH,21.73,5.2,25.11,5.19,5.19,-0.652,0.652,99.6,0.4
MCV,69.88,11.51,77.29,11.74,11.63,-0.637,0.637,98.9,1.1
MCHC,30.64,3.01,32.12,2.71,2.87,-0.518,0.518,98.1,1.9
RDW_CV,17.42,4.96,15.57,4.17,4.55,0.406,0.406,64.9,35.1
HGB,10.17,2.93,11.26,3.2,3.07,-0.355,0.355,98.7,1.3
PLT,354.88,183.52,299.24,156.77,170.67,0.326,0.326,99.4,0.6
HCT,32.84,8.13,35.21,8.67,8.41,-0.283,0.283,98.1,1.9
RBC,4.73,1.06,4.59,1.08,1.07,0.131,0.131,97.5,2.5
WBC,9.14,4.23,8.91,4.71,4.47,0.051,0.051,99.5,0.5
